galaxy,n_points,chi2_spum_red,chi2_nfw_red,aic_spum,aic_nfw,bic_spum,bic_nfw,delta_aic,delta_bic,spum_better_aic,spum_better_bic,nfw_params
NGC4100,24,6.092168026830366,0.7543492222277844,125.75119250977696,21.841333666783473,131.64146166151667,25.37549515782731,103.90985884299349,106.26596650368936,False,False,"3.64e+11,13.38"
NGC4138,7,2.875366844443707,1.7009439853372612,15.750733688887415,12.803775941349045,15.48028443416398,12.641506388514983,2.94695774753837,2.838778045648997,False,False,"1.84e+11,30.00"
NGC4157,17,1.3430755628779505,1.900389734864985,26.116906754535407,32.60545628810979,30.282973474816487,35.105096320278435,-6.4885495335743855,-4.822122845461948,True,True,"5.51e+11,25.21"
NGC4183,23,0.3285606217183607,0.4012756501491529,15.914091190930492,14.025513002983057,21.59156227057624,17.431995650770507,1.8885781879474344,4.159566619805734,False,False,"1.92e+11,14.69"
NGC4214,14,1.501596103337244,0.04964823808005844,23.514364930035196,6.5461306188806425,26.70965157811149,8.463302607726417,16.968234311154553,18.24634897038507,False,False,"4.43e+10,26.01"
NGC4217,19,0.8545548831677575,191.30067656722767,21.963768364348603,3066.8108250756427,26.685963260180806,3069.644142013142,-3044.847056711294,-3042.958178752961,True,True,"8.00e+11,2.00"
NGC4389,6,0.8111380807510005,11.596827690346357,10.811138080751,40.79048307103907,9.769935426891275,40.16576147872323,-29.97934499028807,-30.39582605183196,True,True,"1.00e+13,2.79"
NGC4559,32,0.3981358633846173,0.20067688725942132,20.749668311384667,11.819629730523218,28.0783478253833,16.216837438922397,8.93003858086145,11.861510386460903,False,False,"2.81e+11,13.33"
NGC5005,18,0.3612140703118963,4.28648469183086,14.695782914054652,70.2972703774629,19.147641703535477,72.96838565115138,-55.60148746340824,-53.8207439476159,True,True,"1.00e+13,10.11"
NGC5033,22,3.382669730218506,14.79551801105799,67.5053854137146,287.1148422101018,72.96059768050618,290.3879695701768,-219.6094567963872,-217.4273718896706,True,True,"8.58e+11,20.11"
NGC5055,28,103.7076006062437,4.554468135989713,2395.2748139436053,119.86170339974282,2401.9358364944815,123.85831693026843,2275.4131105438623,2278.077519564213,False,False,"6.21e+11,23.49"
NGC5371,19,15.94712332641586,4.254913773893056,233.25972656982202,74.07862038228889,237.9819214656542,76.91193731978821,159.18110618753315,161.069984145866,False,False,"1.06e+12,5.81"
NGC5585,24,34.61110301829132,6.080769041417436,667.6109573475351,133.69614986976615,673.5012264992748,137.23031136081,533.9148074777689,536.2709151384648,False,False,"3.56e+11,7.08"
NGC5907,19,12.952373194886803,3.178357826450719,191.33322472841525,56.853725223211505,196.05541962424743,59.687042160710824,134.47949950520373,136.3683774635366,False,False,"2.73e+12,3.21"
NGC5985,33,1.0711973991235066,1.5419431133121566,39.99352717545818,52.258293399364696,47.47606498279059,56.747816083764135,-12.264766223906513,-9.271751100973546,True,True,"1.84e+12,30.00"
NGC6015,44,6.230803745057912,12.412084588121596,253.00134605725856,514.8954681129854,261.9222942268499,520.2480370147402,-261.8941220557269,-258.32574278789036,True,True,"3.59e+11,24.98"
NGC6195,23,1.447034229552995,37.87958799529252,36.04661613195391,763.5917599058504,41.72408721159966,766.9982425536379,-727.5451437738965,-725.2741553420382,True,True,"1.00e+13,3.39"
NGC6503,31,1.51169976278621,1.91236780603902,49.30419383244146,59.546298569092556,56.47412985486719,63.848260182547996,-10.242104736651093,-7.374130327680803,True,True,"1.79e+11,15.94"
NGC6946,58,7.128384364018783,8.0497360421222,387.8043712929955,448.735482316721,398.1065863457276,454.9168113483603,-60.93111102372552,-56.810225002632706,True,True,"5.13e+11,21.31"
NGC7331,36,0.7223695129582834,0.7128196194877453,32.39345490170679,29.523047443095596,40.311049593987335,34.273604258463926,2.8704074586111936,6.037445335523408,False,False,"1.00e+13,2.97"
NGC7793,46,1.8301021480525328,1.4991923424342497,85.03418807015385,70.46527072467273,94.17739505259932,75.95119491414002,14.568917345481111,18.226200138459305,False,False,"1.38e+11,19.74"
NGC7814,18,1.800863988567974,14.836557146177226,33.41123185138366,228.5483571926584,37.863090640864485,231.21947246634687,-195.13712534127473,-193.3563818254824,True,True,"1.74e+12,10.23"
PGC51017,6,5.365729029500642,0.014241627130351825,15.365729029500642,6.042724881391056,14.324526375640916,5.418003289075221,9.323004148109586,8.906523086565695,False,False,"7.08e+08,9.93"
UGC00128,22,3.804982108864929,3.9061775648101196,74.68469585070379,80.21737373139227,80.13990811749537,83.49050109146722,-5.532677880688482,-3.3505929739718567,True,True,"4.67e+11,8.61"
UGC00191,9,2.834757049652409,4.4485062636418204,21.339028198609636,32.69103758185092,22.325151085290734,33.28271131385958,-11.352009383241285,-10.957560228568845,True,True,"1.41e+11,9.61"
UGC00731,12,0.578224263389734,0.3236899701994654,14.047569843728137,8.913209731795188,16.47210309266814,10.36792968115919,5.134360111932949,6.104173411508949,False,False,"1.30e+11,7.80"
UGC01230,11,0.5271721427020405,1.5266829807279712,13.163032856212244,18.213463845823767,15.152509220204095,19.40714966421888,-5.050430989611524,-4.254640444014786,True,True,"2.19e+11,11.28"
UGC01281,25,0.0835104648455087,1.6902679516448025,11.670209296910175,43.185894936185655,17.764588421251176,46.84252241079025,-31.515685639275482,-29.077933989539076,True,True,"3.41e+12,2.00"
UGC02259,8,0.925836726073438,0.7538412926059913,12.777510178220314,9.769206463029956,13.174717886619494,10.007531088069463,3.008303715190358,3.1671867985500306,False,False,"7.23e+10,20.58"
UGC02455,8,3.425595541953499,8.026287764848949,20.276786625860495,46.13143882424474,20.673994334259675,46.36976344928425,-25.854652198384244,-25.695769115024575,True,True,"1.51e+12,2.00"
UGC02916,43,2.4575377803271983,491.7537968236144,103.38643565243353,19676.151872944574,112.19243623090135,19681.435473291654,-19572.765437292142,-19569.243037060754,True,True,"8.67e+11,2.00"
UGC03205,48,1.2820663281928475,8.65771185392216,65.12885211229244,395.5970334264972,74.4848571668319,401.2106364592209,-330.4681813142048,-326.725779292389,True,True,"1.20e+12,10.05"
UGC03546,30,3.016321206270778,2.091101275598527,85.40803015676944,62.459734441160236,92.41401706508022,66.6633265861467,22.948295715609206,25.75069047893352,False,False,"9.10e+11,9.88"
UGC03580,47,5.353273635595479,48.80429239612642,234.83749269501013,2153.3888654295624,244.0882307035604,2158.939308234693,-1918.5513727345524,-1914.8510775311324,True,True,"1.08e+12,4.72"
UGC04278,25,1.50839831687921,1.7705963702867478,40.167966337584204,44.95312014630845,46.26234546192521,48.609747620913055,-4.785153808724246,-2.3474021589878475,True,True,"1.00e+13,2.11"
UGC04305,22,0.92800884283418,1.8817312913642688,25.77615032818106,41.75289453592111,31.231362594972637,45.02602189599605,-15.976744207740047,-13.794659301023415,True,True,"8.66e+09,9.65"
UGC04325,8,0.7670730093703367,4.48236693278588,12.30121902811101,28.4118346639294,12.69842673651019,28.650159288968908,-16.11061563581839,-15.951732552458719,True,True,"1.18e+11,18.82"
UGC04483,8,0.4154077522418659,1.232046400498048,11.246223256725598,12.16023200249024,11.643430965124777,12.398556627529747,-0.914008745764642,-0.7551256624049696,True,True,"5.64e+09,12.10"
UGC04499,9,0.159921800780718,1.4213958326150646,10.639687203122872,14.528374995690388,11.62581008980397,15.120048727699047,-3.8886877925675165,-3.4942386378950765,True,True,"1.51e+11,8.13"
UGC05005,11,0.0932959308506695,0.4252989592498883,10.559775585104017,9.402391673999107,12.54925194909587,10.596077492394219,1.15738391110491,1.9531744567016514,False,False,"7.63e+11,2.97"
UGC05253,73,7.17072707487213,250.5294865618265,497.60944109130486,17543.064059327855,509.0617382970468,17549.9354376513,-17045.45461823655,-17040.87369935425,True,True,"4.87e+12,5.92"
