galaxy,chi2_red,n_points,upsilon,upsilon_err,lambda_grav,lambda_err,V_base,V_base_err,r0_base,r0_err,beta_light,beta_err,has_sigma_gas
NGC4068,1.566822657489794,6,0.10000000000000005,0.22128148571798095,29.99999999947797,2247008.412616897,80.77774320736667,180.61927123224478,3.8845006540416605,29.458360020322456,3.747131480240169e-15,40.04814386237538,True
NGC4085,4.873364937330581,7,0.10000000000000002,1.1844402846006012,8.549452241731139,6480.893555907238,153.88870588772926,1068.7808358637021,3.335012793438637,25.706602707664494,4.344599761313045e-14,250.87466421620906,True
NGC4088,1.4077740852389422,12,0.16938458472335688,0.3022359092774488,15.660723418430704,256.8372155945009,167.4242835955859,91.0686905733969,3.9896874267412064,6.190700732249101,0.09999999992650845,6.201632082424281,True
NGC4100,0.5987484334892186,24,1.154461590062312,0.666443269769171,25.589004104347975,619.8769333591343,141.59189601188598,331.7491635318838,5.677817184376557,19.78273992917519,1.7233091227682153e-30,5.5473455877274525,True
NGC4138,3.5015358696077206,7,0.9954877342042802,10.997819771663908,11.256932539074391,410.9117815758755,139.38308623568838,429.4333994972322,2.3611727593516214,86.99424033363584,0.09999722525947734,38.272986994549015,True
NGC4157,1.4380044350425774,17,0.1749560558596185,0.2808268407114983,13.99636594235169,93.73573930747338,182.84229059455276,32.083622126749844,3.2720642983797523,3.937274745139875,0.09999981024563391,7.962640825837329,True
NGC4183,0.1519973658302948,23,0.5100024647109568,0.1352530111786317,14.891454023614118,81.03218314194517,108.60943921903278,16.224785269602776,3.7982595867240074,1.0148167788985458,0.09999996620274634,11.15774610163662,True
NGC4214,0.10972325638617705,14,0.510885721953219,0.06915682676564958,29.99999999999996,6837.639164858364,79.46093754023046,20.983899781476975,1.1802733487791917,0.8805511763611158,0.09999999999982472,6.293538155552806,True
NGC4217,36.489309850263034,19,0.10000000000000002,35.000133133010706,0.5000000000000001,0.47662911487954424,195.82232183694737,17.94369193902174,3.071231051280874,1.9759178221719835,0.09999999999999999,87.53295105869545,True
NGC4389,4.008046955331554,6,0.10000000000000002,0.8887646193360699,0.5000000000000001,6.493221226949535,167.19242537706822,355.6490112053387,6.193986352960938,28.068852071043295,1.7498920986726525e-15,46.0745289047126,True
