galaxy,chi2_red,n_points,upsilon,upsilon_err,lambda_grav,lambda_err,V_base,V_base_err,r0_base,r0_err,beta_light,beta_err
NGC4068,0.1883818063444714,6,0.3,0.0,0.7409859321592668,1.8332618716118203,66.96063826912541,25.90952131334465,3.0903895984690917,1.1021214946783586,0.005,0.0
NGC4085,1.3831975578193465,7,0.6,0.0,1.651000901251609,30.436371671734907,150.6631697817117,25.929331184854558,2.6385463211654114,0.5548490448645658,0.005,0.0
NGC4088,2.055436493046455,12,0.6,0.0,4.498474219724318,14.799137204707154,175.82174043068707,11.14335176295281,2.57328738193534,0.5917673456674625,0.005,0.0
NGC4100,6.092168026830366,24,0.6,0.0,4.720137371898317,65.402314155347,185.21551117669077,16.74722855541284,1.8259194921532185,0.9777353675364786,0.005,0.0
NGC4138,2.875366844443707,7,1.9999999999999998,5.531300766675628,4.030487838743966,21.67191725459042,145.7758582121313,66.73671006954478,0.5000000000000001,10.47656468107461,0.09911689147737204,2125.3371781357628
NGC4157,1.3430755628779505,17,1.9999999999987639,3.9180510167109106,5.083063111430605,4.776455850984677,183.31527282076368,14.891978671410985,2.9100299044517755,2.537968244805749,0.09999999999956218,396.00275499165895
NGC4183,0.32856062171836076,23,0.6,0.0,7.931107550178076,7.38372177144939,108.9316474776223,3.3412999988451286,2.4513826100132388,0.22460434364835788,0.005,0.0
NGC4214,1.501596103337244,14,0.6,0.0,0.5000000558246039,3.342196572555846,79.89854707451204,2.9882237164876324,0.500000000351994,0.13077299460058772,0.005,0.0
NGC4217,0.8545548831677575,19,0.7208805847672602,0.3346612938952248,4.800008926002096,3.869656218435691,170.8871301936952,32.223267671459865,3.160512917812524,1.1686188050199195,8.29418551047986e-06,24.682588152571107
NGC4389,0.8111380807510005,6,0.6,0.0,0.7372251639796825,42.89652699525249,142.00130011138867,44.84442609866027,4.717345690495985,3.7242816109503467,0.005,0.0
NGC4559,0.39813586338461737,32,0.6,0.0,0.5064865107082523,35.31637125118465,123.46651351695989,0.7856802313967467,2.7338336392332194,0.17898918875468528,0.005,0.0
NGC5005,0.36121407031189634,18,1.999999999999999,20.47795702647575,0.5000000000000001,0.8284236482115807,258.6565750612,9.03462719733366,0.7797125208998305,1.3732057996676863,1.546331394071901e-18,97.16281967570285
NGC5033,3.382669730218506,22,1.1576297180048132,0.21994382057522893,14.364957431198933,3.019449256221186,163.67699086543112,24.881769553222124,0.5000000000000012,0.47502208112490785,0.09999999999999509,100.0059800094393
NGC5055,103.7076006062437,28,0.6,0.0,9.438146126230293,23.412580164216802,196.32901043564055,4.062881145833211,0.5000000003948926,0.9652526545893209,0.005,0.0
NGC5371,15.94712332641586,19,0.6,0.0,14.055380670976874,32.46238816020801,223.25084064903496,5.94302300490001,0.5438435097902125,0.808318283165659,0.005,0.0
NGC5585,34.61110301829132,24,0.6,0.0,29.99999078711913,580.3659666222455,82.77264471496676,8.12403258822682,1.7835826629360498,0.3581271790552764,0.005,0.0
NGC5907,12.952373194886805,19,0.3,0.0,6.805572017379151,26.308841854690602,221.19871127303952,5.820631459531593,0.5000001567726093,4.826566544923824,0.005,0.0
NGC5985,1.0711973991235066,33,1.9999999998066944,0.9463056809384471,5.428454426164434,1.4892240268268886,289.4851326005755,6.329106737836484,3.5935763026032226,0.5353506653454858,1.0480940942246274e-10,208.06899511584837
NGC6015,6.230803745057912,44,0.6,0.0,0.5000183192508503,1685.0720187008715,158.86958308255387,1.625416786176185,1.6369335643518632,0.08231410085872296,0.005,0.0
NGC6195,1.447034229552995,23,1.9999999999997362,3.9317456335556202,1.0953742237587898,0.4351259384835923,246.49154002604172,7.508858237209652,1.2855695052737002,0.8393437803876511,0.09999999920784258,48.03040037291337
NGC6503,1.51169976278621,31,0.6,0.0,2.892523084722809,3.168717606086125,116.26732571490555,0.8673583756561958,0.6711196381047462,0.11721912059410923,0.005,0.0
NGC6674,4.22964859804024,15,1.9999999999999856,1.9350207159610493,7.800068886884045,1.7672095449258554,238.25201662866226,16.504856514877645,2.2794966282482356,6.220431550412745,0.09999999999995235,440.2855030448942
NGC6789,inf,4,0.3,inf,0.5000000106413007,inf,87.9696298651047,inf,0.8239568636655927,inf,0.005,inf
NGC6946,7.128384364018783,58,1.9999999999999998,0.9342159176150302,10.66904195500087,2.326171664509638,134.02623505628293,19.77049283774463,0.9947042828681002,0.9970646387509476,0.09999999999999999,141.01811048015676
NGC7331,0.7223695129582834,36,1.9999999999999998,0.9140610364276043,3.343630570712468,0.539642489511978,236.74405449455782,5.5141098048242565,0.5000000000000001,0.9154878071502759,0.09999999999999999,122.69165770612392
NGC7793,1.8301021480525332,46,0.6,0.0,29.999828811176723,616.216789335703,95.89577541880789,3.0369460809308886,0.8886006598657434,0.0788245112248928,0.005,0.0
NGC7814,1.800863988567974,18,1.7334281883040679,0.7547062761889315,1.893626380984664,0.7237712330839586,214.7792749333958,13.859641106959504,0.5000000000000001,0.2840093643985588,3.2757431746836735e-41,105.9961490801668
PGC51017,5.365729029500642,6,0.3,0.0,0.6647155264928182,2.5260692666544085,19.01277858991229,5.9921619315922445,0.5000000000678547,0.617798039598686,0.005,0.0
UGC00128,3.804982108864929,22,0.6,0.0,29.99999991170492,18.847917122246717,127.22663969657667,1.9018567539707982,5.84200980537482,0.5091590469430816,0.005,0.0
UGC00191,2.834757049652409,9,0.6,0.0,0.5000000070762523,16.565514698294667,83.31031298487056,1.0016512495877814,1.7503480648822602,0.20569331572538965,0.005,0.0
UGC00634,inf,4,0.6,inf,26.46323709671175,inf,109.50876203414226,inf,5.749852548103761,inf,0.005,inf
UGC00731,0.578224263389734,12,0.3,0.0,29.999999568584315,91.92044664972472,66.23115551259049,1.7270404569557705,2.0273513210175165,0.15544177900782596,0.005,0.0
